,COUNTRY,country_ID,WHO_REGION,DATA_SOURCE,TOTAL_VACCINATIONS,Cumulative_deaths
0,Aruba,ABW,AMRO,REPORTING,217124.0,292.0
1,Afghanistan,AFG,EMRO,REPORTING,22964750.0,7998.0
2,Angola,AGO,AFRO,REPORTING,27819132.0,1937.0
3,Anguilla,AIA,AMRO,REPORTING,24864.0,12.0
4,Albania,ALB,EURO,REPORTING,3088966.0,3605.0
5,Andorra,AND,EURO,REPORTING,157072.0,159.0
6,Argentina,ARG,AMRO,REPORTING,116686617.0,130678.0
7,Armenia,ARM,EURO,REPORTING,2256919.0,8777.0
8,Antigua and Barbuda,ATG,AMRO,REPORTING,136512.0,146.0
9,Australia,AUS,WPRO,REPORTING,69686752.0,25236.0
10,Austria,AUT,EURO,REPORTING,20403676.0,22534.0
11,Azerbaijan,AZE,EURO,REPORTING,13829360.0,10353.0
12,Burundi,BDI,AFRO,REPORTING,42252.0,15.0
13,Belgium,BEL,EURO,REPORTING,29117755.0,34339.0
14,Benin,BEN,AFRO,REPORTING,4232541.0,163.0
15,Burkina Faso,BFA,AFRO,REPORTING,7893609.0,400.0
16,Bulgaria,BGR,EURO,REPORTING,4723016.0,38721.0
17,Bahamas,BHS,AMRO,REPORTING,366359.0,849.0
18,Bosnia and Herzegovina,BIH,EURO,REPORTING,1190949.0,16399.0
19,Belarus,BLR,EURO,REPORTING,22765402.0,7118.0
20,Belize,BLZ,AMRO,REPORTING,511106.0,688.0
21,Bermuda,BMU,AMRO,REPORTING,136759.0,165.0
22,Bolivia (Plurinational State of),BOL,AMRO,REPORTING,16104540.0,22387.0
23,Brazil,BRA,AMRO,REPORTING,516237106.0,702116.0
24,Barbados,BRB,AMRO,REPORTING,384049.0,593.0
25,Botswana,BWA,AFRO,REPORTING,3171667.0,2801.0
26,Central African Republic,CAF,AFRO,REPORTING,3342248.0,113.0
27,Canada,CAN,AMRO,REPORTING,99034734.0,55282.0
28,Switzerland,CHE,EURO,REPORTING,16755985.0,14170.0
29,Chile,CHL,AMRO,REPORTING,66864900.0,64497.0
30,Cameroon,CMR,AFRO,REPORTING,4880572.0,1974.0
31,Democratic Republic of the Congo,COD,AFRO,REPORTING,18808671.0,1474.0
32,Congo,COG,AFRO,REPORTING,833210.0,389.0
33,Colombia,COL,AMRO,REPORTING,90931192.0,142727.0
34,Comoros,COM,AFRO,REPORTING,835021.0,161.0
35,Cabo Verde,CPV,AFRO,REPORTING,859940.0,417.0
36,Costa Rica,CRI,AMRO,REPORTING,13576935.0,9374.0
37,Cuba,CUB,AMRO,REPORTING,45857667.0,8530.0
38,Cayman Islands,CYM,AMRO,REPORTING,152148.0,37.0
39,Cyprus,CYP,EURO,REPORTING,1891597.0,1482.0
40,Czechia,CZE,EURO,REPORTING,18615329.0,43554.0
41,Germany,DEU,EURO,REPORTING,193241457.0,174979.0
42,Djibouti,DJI,EMRO,REPORTING,723789.0,189.0
43,Dominica,DMA,AMRO,REPORTING,67647.0,74.0
44,Denmark,DNK,EURO,REPORTING,14928430.0,9808.0
45,Dominican Republic,DOM,AMRO,REPORTING,16431089.0,4384.0
46,Algeria,DZA,AFRO,REPORTING,15267442.0,6881.0
47,Ecuador,ECU,AMRO,REPORTING,39585085.0,36053.0
48,Egypt,EGY,EMRO,REPORTING,102191677.0,24830.0
49,Spain,ESP,EURO,REPORTING,119228502.0,121852.0
50,Estonia,EST,EURO,REPORTING,2205229.0,2998.0
51,Ethiopia,ETH,AFRO,REPORTING,68856793.0,7574.0
52,Finland,FIN,EURO,REPORTING,14186622.0,11466.0
53,France,FRA,EURO,REPORTING,158060078.0,168091.0
54,Gabon,GAB,AFRO,REPORTING,572672.0,307.0
55,United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,151248820.0,232112.0
56,Georgia,GEO,EURO,REPORTING,2739270.0,17150.0
57,Ghana,GHA,AFRO,REPORTING,25624828.0,1462.0
58,Guinea,GIN,AFRO,REPORTING,12049511.0,468.0
59,Guadeloupe,GLP,,REPORTING,400424.0,1021.0
60,Gambia,GMB,AFRO,REPORTING,1444492.0,372.0
61,Guinea-Bissau,GNB,AFRO,REPORTING,920752.0,177.0
62,Equatorial Guinea,GNQ,AFRO,REPORTING,488738.0,183.0
63,Greece,GRC,EURO,REPORTING,22155251.0,39497.0
64,Grenada,GRD,AMRO,REPORTING,90686.0,238.0
65,Guatemala,GTM,AMRO,REPORTING,20383475.0,20203.0
66,French Guiana,GUF,,REPORTING,242386.0,413.0
67,Guyana,GUY,AMRO,REPORTING,967861.0,1302.0
68,Honduras,HND,AMRO,REPORTING,17074861.0,11114.0
69,Croatia,HRV,EURO,REPORTING,5435966.0,18765.0
70,Haiti,HTI,AMRO,REPORTING,680104.0,860.0
71,Hungary,HUN,EURO,REPORTING,16578284.0,49068.0
72,Ireland,IRL,EURO,REPORTING,13122238.0,9852.0
73,Iceland,ISL,EURO,REPORTING,903424.0,186.0
74,Israel,ISR,EURO,REPORTING,18852564.0,12707.0
75,Italy,ITA,EURO,REPORTING,150321543.0,197542.0
76,Jamaica,JAM,AMRO,REPORTING,1529113.0,3615.0
77,Japan,JPN,WPRO,REPORTING,433356604.0,74694.0
78,Kazakhstan,KAZ,EURO,REPORTING,38355605.0,19072.0
79,Kenya,KEN,AFRO,REPORTING,23750431.0,5689.0
80,Kyrgyzstan,KGZ,EURO,REPORTING,3167393.0,1024.0
81,Cambodia,KHM,WPRO,REPORTING,47826645.0,3056.0
82,Saint Kitts and Nevis,KNA,AMRO,REPORTING,64297.0,46.0
83,Kuwait,KWT,EMRO,REPORTING,8261221.0,2570.0
84,Liberia,LBR,AFRO,REPORTING,4460668.0,294.0
85,Libya,LBY,EMRO,REPORTING,3653384.0,6437.0
86,Saint Lucia,LCA,AMRO,REPORTING,122977.0,410.0
87,Lesotho,LSO,AFRO,REPORTING,1339097.0,709.0
88,Lithuania,LTU,EURO,REPORTING,4532649.0,9824.0
89,Luxembourg,LUX,EURO,REPORTING,1337940.0,1000.0
90,Latvia,LVA,EURO,REPORTING,2979624.0,7475.0
91,Morocco,MAR,EMRO,REPORTING,55389602.0,16305.0
92,Monaco,MCO,EURO,REPORTING,71929.0,67.0
93,Republic of Moldova,MDA,EURO,REPORTING,2293086.0,12274.0
94,Madagascar,MDG,AFRO,REPORTING,3092063.0,1428.0
95,Mexico,MEX,AMRO,REPORTING,222226293.0,334724.0
96,North Macedonia,MKD,EURO,REPORTING,1862987.0,9981.0
97,Mali,MLI,AFRO,REPORTING,5922585.0,743.0
98,Malta,MLT,EURO,REPORTING,1282437.0,923.0
99,Montenegro,MNE,EURO,REPORTING,526975.0,2654.0
100,Mozambique,MOZ,AFRO,REPORTING,34950858.0,2252.0
101,Mauritania,MRT,AFRO,REPORTING,4075874.0,997.0
102,Montserrat,MSR,AMRO,REPORTING,4619.0,8.0
103,Mauritius,MUS,AFRO,REPORTING,2616012.0,1074.0
104,Malawi,MWI,AFRO,REPORTING,8503954.0,2686.0
105,Malaysia,MYS,WPRO,REPORTING,72647279.0,37351.0
106,Namibia,NAM,AFRO,REPORTING,1005937.0,4110.0
107,Niger,NER,AFRO,REPORTING,7372208.0,315.0
108,Nigeria,NGA,AFRO,REPORTING,133048021.0,3155.0
109,Nicaragua,NIC,AMRO,REPORTING,15507763.0,245.0
110,Norway,NOR,EURO,REPORTING,13020641.0,5732.0
111,Panama,PAN,AMRO,REPORTING,9201276.0,8754.0
112,Peru,PER,AMRO,REPORTING,91328338.0,220975.0
113,Papua New Guinea,PNG,WPRO,REPORTING,543670.0,670.0
114,Poland,POL,EURO,REPORTING,58634593.0,120816.0
115,Puerto Rico,PRI,AMRO,REPORTING,7846764.0,5938.0
116,Portugal,PRT,EURO,REPORTING,27360186.0,28977.0
117,Paraguay,PRY,AMRO,REPORTING,9954852.0,19880.0
118,Romania,ROU,EURO,REPORTING,16112261.0,68899.0
119,Russian Federation,RUS,EURO,REPORTING,187374508.0,403352.0
120,Rwanda,RWA,AFRO,REPORTING,27322059.0,1468.0
121,Sudan,SDN,EMRO,REPORTING,28662107.0,5046.0
122,Senegal,SEN,AFRO,REPORTING,3182308.0,1972.0
123,Sierra Leone,SLE,AFRO,REPORTING,9155936.0,126.0
124,El Salvador,SLV,AMRO,REPORTING,11459448.0,4230.0
125,San Marino,SMR,EURO,REPORTING,69338.0,126.0
126,Somalia,SOM,EMRO,REPORTING,8784760.0,1361.0
127,Serbia,SRB,EURO,REPORTING,6722671.0,18057.0
128,South Sudan,SSD,AFRO,REPORTING,4365547.0,147.0
129,Sao Tome and Principe,STP,AFRO,REPORTING,263863.0,80.0
130,Suriname,SUR,AMRO,REPORTING,554588.0,1406.0
131,Slovakia,SVK,EURO,REPORTING,7222380.0,21231.0
132,Slovenia,SVN,EURO,REPORTING,3028400.0,9710.0
133,Sweden,SWE,EURO,REPORTING,23237123.0,27734.0
134,Eswatini,SWZ,AFRO,REPORTING,870205.0,1427.0
135,Seychelles,SYC,AFRO,REPORTING,224558.0,172.0
136,Turks and Caicos Islands,TCA,AMRO,REPORTING,73907.0,40.0
137,Chad,TCD,AFRO,REPORTING,9151765.0,194.0
138,Togo,TGO,AFRO,REPORTING,3423181.0,290.0
139,Tajikistan,TJK,EURO,REPORTING,20568163.0,125.0
140,Turkmenistan,TKM,EURO,REPORTING,16775970.0,0.0
141,Trinidad and Tobago,TTO,AMRO,REPORTING,1592148.0,4390.0
142,Tunisia,TUN,EMRO,REPORTING,16553338.0,29423.0
143,United Republic of Tanzania,TZA,AFRO,REPORTING,39392419.0,846.0
144,Uganda,UGA,AFRO,REPORTING,26406936.0,3632.0
145,Ukraine,UKR,EURO,REPORTING,35735488.0,109923.0
146,Uruguay,URY,AMRO,REPORTING,9037498.0,7682.0
147,United States of America,USA,AMRO,REPORTING,711813790.0,1201488.0
148,Uzbekistan,UZB,EURO,REPORTING,83937954.0,1016.0
149,Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,73443.0,124.0
150,Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,37860994.0,5856.0
151,British Virgin Islands,VGB,AMRO,REPORTING,41453.0,64.0
152,Yemen,YEM,EMRO,REPORTING,1298654.0,2159.0
153,South Africa,ZAF,AFRO,REPORTING,41798812.0,102595.0
154,Zambia,ZMB,AFRO,REPORTING,13615707.0,4078.0
155,Zimbabwe,ZWE,AFRO,REPORTING,13935112.0,5740.0
156,United Arab Emirates,ARE,EMRO,REPORTING,24922054.0,2349.0
157,Bangladesh,BGD,SEARO,REPORTING,362229859.0,29499.0
158,Bahrain,BHR,EMRO,REPORTING,3476633.0,1536.0
159,Brunei Darussalam,BRN,WPRO,REPORTING,1293100.0,181.0
160,Bhutan,BTN,SEARO,REPORTING,2011426.0,21.0
161,China,CHN,WPRO,REPORTING,3516880717.0,122358.0
162,Cook Islands,COK,WPRO,REPORTING,40080.0,2.0
163,Fiji,FJI,WPRO,REPORTING,1555182.0,885.0
164,Gibraltar,GIB,,REPORTING,,113.0
165,Greenland,GRL,EURO,REPORTING,,21.0
166,Indonesia,IDN,SEARO,REPORTING,448199860.0,162059.0
167,India,IND,SEARO,REPORTING,2208365081.0,533641.0
168,Iran (Islamic Republic of),IRN,EMRO,REPORTING,155461757.0,146837.0
169,Iraq,IRQ,EMRO,REPORTING,19557364.0,25375.0
170,Jordan,JOR,EMRO,REPORTING,10057975.0,14122.0
171,Kiribati,KIR,WPRO,REPORTING,219980.0,24.0
172,Republic of Korea,KOR,WPRO,REPORTING,135927574.0,35934.0
173,Lao People's Democratic Republic,LAO,WPRO,REPORTING,13879410.0,671.0
174,Lebanon,LBN,EMRO,REPORTING,5814699.0,10947.0
175,Liechtenstein,LIE,,REPORTING,71104.0,89.0
176,Sri Lanka,LKA,SEARO,REPORTING,40116590.0,16907.0
177,Maldives,MDV,SEARO,REPORTING,951764.0,316.0
178,Myanmar,MMR,SEARO,REPORTING,93477104.0,19494.0
179,Mongolia,MNG,WPRO,REPORTING,5668144.0,2136.0
180,New Caledonia,NCL,WPRO,REPORTING,480497.0,314.0
181,Niue,NIU,WPRO,REPORTING,4923.0,0.0
182,Nepal,NPL,SEARO,REPORTING,62627629.0,12031.0
183,Nauru,NRU,WPRO,REPORTING,32157.0,1.0
184,New Zealand,NZL,WPRO,REPORTING,12252378.0,4424.0
185,Oman,OMN,EMRO,REPORTING,7108547.0,4628.0
186,Pakistan,PAK,EMRO,REPORTING,340974144.0,30656.0
187,Philippines,PHL,WPRO,REPORTING,189317158.0,66864.0
188,Palau,PLW,WPRO,REPORTING,51032.0,10.0
189,French Polynesia,PYF,WPRO,REPORTING,493692.0,650.0
190,Qatar,QAT,EMRO,REPORTING,7609178.0,690.0
191,Saudi Arabia,SAU,EMRO,REPORTING,68534631.0,9646.0
192,Singapore,SGP,WPRO,REPORTING,15302530.0,2024.0
193,Saint Helena,SHN,,REPORTING,,0.0
194,Solomon Islands,SLB,WPRO,REPORTING,612700.0,199.0
195,Syrian Arab Republic,SYR,EMRO,REPORTING,5090630.0,3163.0
196,Thailand,THA,SEARO,REPORTING,142635014.0,34725.0
197,Tokelau,TKL,WPRO,REPORTING,6342.0,0.0
198,Timor-Leste,TLS,SEARO,REPORTING,2028798.0,138.0
199,Tonga,TON,WPRO,REPORTING,204737.0,13.0
200,Tuvalu,TUV,WPRO,REPORTING,26783.0,1.0
201,Viet Nam,VNM,WPRO,REPORTING,266492149.0,43206.0
202,Vanuatu,VUT,WPRO,REPORTING,355430.0,14.0
203,Samoa,WSM,WPRO,REPORTING,453130.0,31.0
